City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
24,Fort Mcmurray,56.7268,-111.381,290.92,22,0,3.09,CA,clear sky,2024-05-10 03:48:08
25,Invercargill,-46.4,168.35,282.6,78,100,4.47,NZ,overcast clouds,2024-05-10 03:48:08
26,Prince Rupert,54.3161,-130.3201,284.2,83,75,2.57,CA,broken clouds,2024-05-10 03:48:08
27,Qaqortoq,60.7167,-46.0333,274.12,75,100,0.83,GL,overcast clouds,2024-05-10 03:48:09
28,Goundi,9.3627,17.366,302.51,39,97,3.29,TD,overcast clouds,2024-05-10 03:48:09
29,Tazovsky,67.4667,78.7,272.58,88,99,9.25,RU,overcast clouds,2024-05-10 03:48:09
30,Plymouth,41.8334,-70.8328,283.7,84,0,2.57,US,clear sky,2024-05-10 03:47:55
31,Kidal,18.4411,1.4078,303.98,6,2,5.67,ML,clear sky,2024-05-10 03:48:10
32,Thompson,55.7435,-97.8558,282.24,87,75,2.06,CA,light rain,2024-05-10 03:48:10
33,Igarka,67.4667,86.5833,272.6,99,94,5.81,RU,overcast clouds,2024-05-10 03:48:10
34,Ostersund,63.1792,14.6357,276.82,93,18,7.2,SE,few clouds,2024-05-10 03:48:10
35,Hithadhoo,-0.6,73.0833,302.16,77,23,3.73,MV,few clouds,2024-05-10 03:48:10
36,Lebu,-37.6167,-73.65,281.28,84,4,0.68,CL,clear sky,2024-05-10 03:47:33
37,Chuchar-Kana Mandi,31.75,73.8,311.05,22,12,5.51,PK,few clouds,2024-05-10 03:48:10
38,Keflavik,64.0049,-22.5624,280.39,70,0,4.12,IS,clear sky,2024-05-10 03:48:11
39,Al Jubayl,27.0112,49.6583,299.58,53,0,5.29,SA,clear sky,2024-05-10 03:44:39
40,Sovetskiy,61.3614,63.5842,274.76,88,10,3.13,RU,clear sky,2024-05-10 03:48:11
41,Spring Creek,40.7266,-115.5859,282.98,59,67,3.13,US,broken clouds,2024-05-10 03:44:15
42,Geraldton,-28.7667,114.6,302.38,30,86,5.14,AU,overcast clouds,2024-05-10 03:47:32
43,Hermanus,-34.4187,19.2345,286.22,76,1,4.81,ZA,clear sky,2024-05-10 03:48:11
44,Punta Arenas,-53.15,-70.9167,272.21,93,40,2.57,CL,scattered clouds,2024-05-10 03:43:12
45,Bereeda,11.8704,51.0579,303.02,72,63,2.62,SO,broken clouds,2024-05-10 03:48:12
46,Utrik,11.2278,169.8474,300.42,82,84,9.17,MH,broken clouds,2024-05-10 03:48:12
47,Waitangi,-43.9535,-176.5597,283.05,89,84,1.34,NZ,light rain,2024-05-10 03:48:12
48,Grytviken,-54.2811,-36.5092,273.61,88,100,1.05,GS,overcast clouds,2024-05-10 03:48:12
49,Port Alfred,-33.5906,26.891,287.69,98,20,0.45,ZA,few clouds,2024-05-10 03:48:12
50,Lazaro Cardenas,17.9583,-102.2,296.86,78,63,0.86,MX,broken clouds,2024-05-10 03:48:13
51,Papatowai,-46.5619,169.4708,280.99,84,100,5.16,NZ,overcast clouds,2024-05-10 03:48:13
52,Udachny,66.4167,112.4,267.29,72,100,5.14,RU,overcast clouds,2024-05-10 03:48:13
53,Jamestown,42.097,-79.2353,284.92,93,100,2.57,US,overcast clouds,2024-05-10 03:45:02
54,Iqaluit,63.7506,-68.5145,271.0,80,100,4.12,CA,overcast clouds,2024-05-10 03:48:13
55,Badger,64.8,-147.5333,285.1,60,75,5.14,US,broken clouds,2024-05-10 03:48:13
56,Bethel,41.3712,-73.414,287.39,81,99,0.89,US,overcast clouds,2024-05-10 03:46:49
57,Puerto Natales,-51.7236,-72.4875,271.05,96,48,1.39,CL,scattered clouds,2024-05-10 03:45:00
58,Lethem,3.3803,-59.7968,297.85,94,100,3.69,GY,moderate rain,2024-05-10 03:48:14
59,Stepnoye,51.4,46.8667,277.78,50,0,4.72,RU,clear sky,2024-05-10 03:48:14
60,Kruisfontein,-34.0033,24.7314,284.75,89,0,1.37,ZA,clear sky,2024-05-10 03:48:14
61,Filey,54.21,-0.2892,284.98,88,100,2.42,GB,overcast clouds,2024-05-10 03:48:14
62,Edinburgh Of The Seven Seas,-37.0676,-12.3116,286.61,65,100,7.16,SH,overcast clouds,2024-05-10 03:48:15
63,Whitehorse,60.7161,-135.0538,282.58,58,75,7.72,CA,broken clouds,2024-05-10 03:48:15
64,Cururupu,-1.8283,-44.8683,297.05,96,100,0.27,BR,light rain,2024-05-10 03:48:15
65,Kapuskasing,49.4169,-82.4331,280.15,57,0,2.57,CA,clear sky,2024-05-10 03:48:15
